Filename,Extracted Text
University of Bristol Thesis Template (Copy)/memoirthesis.tex,Error: Invalid file type
University of Bristol Thesis Template (Copy)/thesisbiblio.bib,Error: Invalid file type
University_of_Bristol_Thesis_Template_Copy_logos_bristolcrest_bw.pdf,Error: list index out of range
University_of_Bristol_Thesis_Template_Copy_logos_bristolcrest_colour.pdf,Error: list index out of range
University_of_Bristol_Thesis_Template_Copy_logos_bristollogo_bw.pdf,Error: list index out of range
University_of_Bristol_Thesis_Template_Copy_logos_bristollogo_colour.pdf,Error: list index out of range
University of Bristol Thesis Template (Copy)/logos/logo-black.eps,Error: Invalid file type
University of Bristol Thesis Template (Copy)/logos/logo-full-colour--1-.eps,Error: Invalid file type
University of Bristol Thesis Template (Copy)/frontmatter/abstract.tex,Error: Invalid file type
University of Bristol Thesis Template (Copy)/frontmatter/declaration.tex,Error: Invalid file type
University of Bristol Thesis Template (Copy)/frontmatter/dedication.tex,Error: Invalid file type
University of Bristol Thesis Template (Copy)/frontmatter/title.tex,Error: Invalid file type
University of Bristol Thesis Template (Copy)/chapters/chapter02/chap02.tex,Error: Invalid file type
University of Bristol Thesis Template (Copy)/chapters/chapter01/chap01.tex,Error: Invalid file type
University_of_Bristol_Thesis_Template_Copy_chapters_chapter01_fig01_auxab.jpeg,Error: list index out of range
University_of_Bristol_Thesis_Template_Copy_chapters_chapter01_fig01_devepzones.jpeg,"root
hair
Zone
elongation
zone
meristem"
University_of_Bristol_Thesis_Template_Copy_chapters_chapter01_fig01_Mswellings.jpeg,D
University_of_Bristol_Thesis_Template_Copy_chapters_chapter01_fig01_mutantrhd6.jpeg,Error: list index out of range
University_of_Bristol_Thesis_Template_Copy_chapters_chapter01_fig01_Nswellings.jpeg,"F
*
50 ¦Ìm"
University_of_Bristol_Thesis_Template_Copy_chapters_chapter01_fig01_rhd1.jpeg,rhd1
University of Bristol Thesis Template (Copy)/chapters/appendices/app0A.tex,Error: Invalid file type
